date,campaign_id,impressions,clicks,ctr,spend,cpc,conversions,cpa,revenue,roi
2025-03-30,Healthy_Campaign_1,13232,643,0.04859431680773881,775.6066254423465,1.2062311437672575,64,12.118853522536664,3774.475651651443,4.866481961134321
2025-03-31,Healthy_Campaign_1,22862,1535,0.06714198232875514,2533.9473276532062,1.650780018015118,214,11.84087536286545,17272.257082463217,6.816344165472362
2025-04-01,Healthy_Campaign_1,19182,1081,0.05635491606714628,1482.5446642088439,1.371456673643704,126,11.766227493720983,8448.872456700676,5.698899102786489
2025-04-02,Healthy_Campaign_1,20715,1260,0.0608254887762491,1848.0286116622337,1.4666893743351062,159,11.622821456995181,11402.009193190892,6.1698228702937685
2025-04-03,Healthy_Campaign_1,19823,1154,0.058215204560359175,1604.1730657533305,1.390097977255919,139,11.540813422685831,9447.270020533657,5.889183793331647
2025-04-04,Healthy_Campaign_1,20234,1202,0.059404961945240684,1689.2195466613325,1.4053407210160835,148,11.413645585549544,10169.262612044211,6.020095275444395
2025-04-05,Healthy_Campaign_1,14981,824,0.055003003804819435,1061.6022370593278,1.2883522294409318,94,11.293640819780082,5921.184365695127,5.57759220826154
2025-04-06,Healthy_Campaign_1,16628,1015,0.06104161655039692,1437.879508797205,1.416630057928281,128,11.233433662478165,8865.68994454612,6.165808671939643
2025-04-07,Healthy_Campaign_1,22029,1425,0.06468745744246221,2119.7594768121867,1.4875505100436397,191,11.098217156084747,13891.565956630591,6.55336895935076
2025-04-08,Healthy_Campaign_1,22305,1461,0.06550100874243443,2180.3424066618572,1.4923630435741664,198,11.011830336676047,14447.27012028317,6.6261473776507405
2025-04-09,Healthy_Campaign_1,20814,1272,0.061112712597290286,1755.3268234273528,1.3799739177887993,161,10.902651077188526,10862.827197120872,6.18849267962004
2025-04-10,Healthy_Campaign_1,16999,848,0.04988528736984529,947.0836741283771,1.1168439553400673,87,10.886019242854909,4750.702858106896,5.016138476337983
2025-04-11,Healthy_Campaign_1,21107,1308,0.06196996257165869,1797.6742640417447,1.3743687033958292,168,10.700442047867528,11289.082726540566,6.279826636199992
2025-04-12,Healthy_Campaign_1,15146,842,0.055592235573748844,1028.848583134928,1.2219104312766367,97,10.606686424071423,5795.050480333152,5.632559130008699
2025-04-13,Healthy_Campaign_1,19739,1430,0.07244541263488526,2257.170494446327,1.578440905207222,215,10.49846741602943,16592.541168128886,7.3510358251422
2025-04-14,Healthy_Campaign_1,21658,1378,0.06362545018007203,1892.634574926453,1.3734648584371938,182,10.399091071024467,12221.796743090235,6.457557578733955
2025-04-15,Healthy_Campaign_1,22610,1501,0.06638655462184874,2133.604413842363,1.4214553056911146,207,10.30726769972156,14386.318506869846,6.742730008212642
2025-04-16,Healthy_Campaign_1,20143,1192,0.05917688527031723,1496.6285306628547,1.2555608478715223,146,10.250880347005854,8962.656193580948,5.98856430300136
2025-04-17,Healthy_Campaign_1,21097,1307,0.061951936294259845,1704.159792036256,1.3038713022465616,168,10.143808285930096,10710.016140104346,6.284631400267476
2025-04-18,Healthy_Campaign_1,23418,1611,0.06879323597232898,2312.052468723492,1.4351660265198585,230,10.052402037928227,16138.980541897672,6.980369502949978
2025-04-19,Healthy_Campaign_1,19404,1382,0.07122242836528551,2037.2091179168817,1.4741021113725628,204,9.98631920547491,14702.928744463847,7.217191703666686
2025-04-20,Healthy_Campaign_1,22411,1844,0.08228102271206104,3113.4219102308375,1.6884066758301721,315,9.883879080097897,26003.615231298736,8.352101315228028
2025-04-21,Healthy_Campaign_1,23194,1580,0.06812106579287747,2190.682547400547,1.3865079413927512,223,9.823688553365681,15117.269006919596,6.900711846569314
2025-04-22,Healthy_Campaign_1,21606,1371,0.06345459594557068,1756.3061679072723,1.2810402391737945,180,9.757256488373734,11274.0873061478,6.419203845068451
2025-04-23,Healthy_Campaign_1,23681,1647,0.06954942781132553,2293.836166536494,1.3927359845394622,237,9.678633614078034,16138.503456181312,7.035595519687502
2025-04-24,Healthy_Campaign_1,22519,1489,0.06612194147164617,2445.3266993751945,1.6422610472633945,204,11.986895585172523,16380.17269728991,6.698562078218509
2025-04-25,Healthy_Campaign_1,18112,935,0.0516232332155477,1222.929010152311,1.3079454654035412,100,12.22929010152311,6331.613254489808,5.177416842618878
2025-04-26,Healthy_Campaign_1,17964,1116,0.06212424849699399,1792.3885033647812,1.6060828883196965,145,12.361300023205388,11163.025127615396,6.2280164744749715
2025-04-27,Healthy_Campaign_1,16358,899,0.0549578188042548,1302.7005518762317,1.4490551188834613,104,12.525966844963765,7153.640920887599,5.491393175956265
2025-04-28,Healthy_Campaign_1,19406,983,0.05065443677213233,1339.6714319329462,1.3628397069511151,105,12.758775542218535,6727.393868448346,5.0216745002479595
2025-03-30,Friction_Campaign_2,14499,741,0.05110697289468239,1033.9238688112791,1.3953088647925493,68,15.204762776636457,5391.594230131102,5.2146917125822
2025-03-31,Friction_Campaign_2,13507,514,0.038054342192937,529.1757997402717,1.0295249022184274,35,15.119308564007763,2047.5892174922649,3.869393155350747
2025-04-01,Friction_Campaign_2,16431,761,0.04631489258109671,943.7600645555307,1.240157772083483,63,14.980318485008423,4439.718376839718,4.704287184402775
2025-04-02,Friction_Campaign_2,13385,505,0.037728800896525964,505.2240340420124,1.0004436317663612,34,14.859530413000366,1932.9003952844807,3.8258282762608014
2025-04-03,Friction_Campaign_2,16115,732,0.04542351846106112,873.1932124120628,1.1928869022022717,59,14.799884956136658,3999.348183365549,4.580141172098625
2025-04-04,Friction_Campaign_2,15559,682,0.043833151230798895,778.0197122309515,1.1407913669075536,53,14.679617211904747,3435.7379285062248,4.416003700798704
2025-04-05,Friction_Campaign_2,11481,464,0.04041459803153036,483.6186245531111,1.042281518433429,33,14.65510983494276,1954.5055617824273,4.041419131838632
2025-04-06,Friction_Campaign_2,12948,591,0.045644114921223354,688.2185439643777,1.1644983823424326,48,14.337886332591202,3176.2747392098095,4.6152123726765115
2025-04-07,Friction_Campaign_2,16210,741,0.045712523133867984,856.203922318587,1.1554708803219798,60,14.27006537197645,3939.56426293686,4.601198569925469
2025-04-08,Friction_Campaign_2,15581,684,0.04389962133367563,752.7150159821906,1.1004605496815651,54,13.93916696263316,3376.806473721215,4.486168605677332
2025-04-09,Friction_Campaign_2,15481,676,0.04366642981719527,732.4522417577856,1.0835092333695053,53,13.819853618071427,3263.2204949671436,4.455198999918219
2025-04-10,Friction_Campaign_2,15763,700,0.04440779039522934,765.2990212609936,1.0932843160871337,55,13.914527659290794,3416.9115838836274,4.46480589803125
2025-04-11,Friction_Campaign_2,20474,1182,0.05773175735078636,1663.4561428433922,1.407323301897963,122,13.634886416749117,9756.445951733122,5.865165723609734
